Year,Team,Player,G,W,L,IP,ERA,FIP,WHIP,K%,BB%,HR/9,BABIP,V_R_ERA,V_R_WHIP,V_R_AVG,V_R_OBP,V_L_ERA,V_L_WHIP,V_L_AVG,V_L_OBP
2025,한화,이태양,8,0,1,7.1,3.68,3.47,1.50,15.6,9.4,0.00,0.348,2.70,1.80,0.333,0.375,4.91,1.09,0.250,0.308
2025,한화,엄상백,8,1,4,32.1,6.68,5.89,1.82,18.1,10.3,1.67,0.370,5.14,1.79,0.344,0.394,8.47,1.88,0.313,0.427
2025,한화,권민규,5,0,0,5.1,8.44,8.42,2.25,14.3,25.0,1.69,0.250,9.00,5.00,0.400,0.625,9.00,1.75,0.214,0.368
2025,한화,김승일,3,0,0,1.1,33.75,16.24,4.50,20.0,30.0,6.75,0.500,27.00,6.00,0.000,0.667,36.00,4.00,0.500,0.571
2025,한화,주현상,5,0,0,3.2,9.82,7.68,3.55,12.5,8.3,2.46,0.588,9.00,2.00,0.400,0.400,18.00,9.00,0.700,0.769
2025,한화,이상규,3,0,1,5.0,10.80,4.78,3.00,6.7,10.0,0.00,0.480,27.00,3.00,0.400,0.455,2.70,3.00,0.471,0.526
2025,키움,로젠버그,11,3,4,63.0,3.71,3.12,1.24,26.4,7.0,0.71,0.316,2.17,1.02,0.212,0.280,6.46,1.56,0.267,0.330
2025,키움,하영민,10,4,5,53.0,5.26,3.53,1.57,22.0,7.9,0.68,0.370,5.25,1.79,0.311,0.377,5.74,1.43,0.294,0.342
2025,키움,주승우,14,2,1,14.1,3.77,6.94,1.12,17.2,5.2,3.14,0.200,4.50,1.33,0.261,0.320,3.52,1.04,0.226,0.250
2025,키움,양지율,12,0,0,10.1,2.61,4.94,1.26,17.4,8.7,0.87,0.258,1.42,0.95,0.174,0.296,4.91,1.91,0.313,0.389
2025,키움,김성민,18,0,1,16.0,2.81,4.50,1.25,14.5,11.6,0.00,0.250,4.26,0.95,0.150,0.250,0.00,1.32,0.226,0.368
2025,키움,이준우,10,0,2,8.2,3.12,4.98,1.50,15.4,10.3,1.04,0.296,3.86,2.14,0.316,0.435,2.25,0.75,0.200,0.200
2025,키움,정현우,3,2,0,15.0,4.80,5.60,2.13,14.9,17.6,0.60,0.375,3.00,2.33,0.351,0.467,9.00,2.00,0.286,0.400
2025,키움,조영건,10,0,2,32.2,6.34,6.18,1.59,13.4,10.1,1.65,0.293,4.91,1.57,0.281,0.354,7.79,1.50,0.286,0.354
2025,키움,김선기,15,0,4,30.0,6.30,6.18,2.07,13.3,12.0,0.90,0.381,4.05,2.63,0.377,0.519,8.40,1.53,0.281,0.358
2025,키움,손힘찬,4,0,0,4.0,11.25,5.36,2.25,18.2,18.2,0.00,0.385,21.60,2.40,0.286,0.500,3.86,2.14,0.300,0.417
2025,키움,오석주,21,0,0,22.2,6.75,4.45,1.76,16.5,7.8,0.79,0.411,9.82,2.27,0.396,0.482,4.22,1.22,0.300,0.310
2025,키움,김연주,9,1,1,19.2,6.41,5.50,1.78,12.6,8.4,0.92,0.362,2.92,1.05,0.190,0.300,12.27,2.86,0.474,0.523
2025,키움,이강준,19,0,2,15.2,6.89,5.44,1.91,19.7,13.2,1.15,0.391,12.86,2.14,0.333,0.486,0.00,1.70,0.290,0.371
2025,키움,손현기,2,0,0,3.0,15.00,14.46,3.33,5.6,33.3,3.00,0.333,0.00,3.00,0.286,0.615,40.50,1.50,0.333,0.333
2025,키움,박주성,8,0,0,18.0,8.00,4.38,1.78,11.5,5.7,0.50,0.377,5.00,1.44,0.314,0.366,11.88,2.16,0.375,0.419
2025,키움,박윤성,17,0,5,15.1,5.87,4.84,1.50,23.5,8.8,1.76,0.333,9.00,1.33,0.280,0.308,4.00,1.44,0.242,0.342
2025,키움,김서준,4,0,0,5.1,20.25,9.45,3.56,11.8,14.7,3.38,0.522,23.14,4.29,0.533,0.588,16.88,3.00,0.455,0.533
2025,키움,전준표,7,0,0,6.2,12.15,4.60,3.15,17.1,14.6,0.00,0.556,9.82,1.36,0.286,0.375,16.88,5.63,0.556,0.652
2025,키움,김윤하,9,0,8,41.2,7.13,6.35,1.92,12.5,10.1,1.73,0.342,6.95,1.73,0.309,0.377,7.00,2.22,0.346,0.430
2025,키움,원종현,18,0,0,16.0,5.06,4.99,1.69,13.3,9.3,1.13,0.340,0.84,1.13,0.222,0.293,14.40,2.60,0.444,0.464
2025,키움,윤현,15,2,1,20.0,6.75,6.79,2.15,12.1,15.9,0.90,0.338,9.00,1.89,0.317,0.417,4.22,2.25,0.310,0.446
2025,키움,윤석원,4,0,0,4.0,24.75,8.79,3.25,7.7,15.4,2.25,0.471,9.00,3.00,0.444,0.545,37.80,4.20,0.556,0.583
2025,KIA,네일,10,3,1,60.2,2.23,2.91,1.07,23.0,7.0,0.15,0.290,2.59,0.96,0.214,0.273,1.69,1.31,0.245,0.330
2025,KIA,올러,9,5,1,54.0,3.00,2.77,0.89,26.8,5.6,0.50,0.244,1.95,0.69,0.177,0.216,3.91,1.14,0.207,0.276
2025,KIA,김도현,9,2,2,52.0,2.94,4.31,1.27,13.0,5.4,0.69,0.291,1.69,1.01,0.210,0.266,4.91,1.64,0.330,0.374
2025,KIA,정해영,20,1,2,21.2,2.08,2.36,1.20,31.1,7.8,0.42,0.340,0.96,1.18,0.263,0.300,3.38,1.41,0.225,0.326
2025,KIA,양현종,9,2,4,48.0,5.25,4.09,1.56,17.8,9.4,0.56,0.354,3.77,1.47,0.269,0.358,8.15,1.81,0.347,0.395
2025,KIA,조상우,24,3,3,20.2,3.92,4.12,1.74,25.0,14.6,0.87,0.357,2.25,1.58,0.214,0.358,3.24,1.80,0.306,0.375
2025,KIA,최지민,20,1,0,14.0,4.50,5.61,2.07,16.7,22.2,0.00,0.310,3.52,1.17,0.167,0.300,6.35,3.00,0.261,0.514
2025,KIA,성영탁,1,0,0,2.0,0.00,5.46,1.00,0.0,12.5,0.00,0.143,0.00,0.75,0.200,0.200,0.00,3.00,0.000,0.500
2025,KIA,김현수,2,0,0,2.0,0.00,8.66,1.50,0.0,33.3,0.00,0.000,0.00,0.75,0.000,0.200,0.00,3.00,0.000,0.500
2025,KIA,김민재,1,0,0,2.0,0.00,2.61,1.00,12.5,0.0,0.00,0.286,0.00,1.50,0.333,0.333,0.00,1.00,0.250,0.250
2025,KIA,김기훈,4,0,0,2.1,3.86,6.61,3.43,0.0,14.3,0.00,0.500,0.00,2.00,0.250,0.400,6.75,3.75,0.571,0.625
2025,KIA,유승철,1,0,0,2.0,4.50,3.31,2.50,27.3,18.2,0.00,0.500,0.00,0.75,0.000,0.200,13.50,6.00,0.600,0.667
2025,KIA,윤중현,7,0,0,6.2,4.05,6.04,1.50,16.7,6.7,2.70,0.300,4.50,1.00,0.214,0.267,0.00,2.50,0.400,0.455
2025,KIA,장재혁,3,0,0,3.0,6.00,9.36,2.00,15.4,23.1,3.00,0.286,5.40,1.20,0.200,0.333,6.75,3.00,0.400,0.571
2025,KIA,황동하,13,1,2,29.1,5.52,4.54,1.36,18.1,7.9,0.92,0.318,4.86,1.08,0.233,0.313,7.59,1.97,0.349,0.420
2025,KIA,김대유,3,0,0,1.2,32.40,15.26,3.60,9.1,27.3,5.40,0.333,99.99,99.99,1.000,1.000,16.20,1.80,0.167,0.375
