Year,Team,Player,G,W,L,IP,ERA,FIP,WHIP,K%,BB%,HR/9,BABIP,V_R_ERA,V_R_WHIP,V_R_AVG,V_R_OBP,V_L_ERA,V_L_WHIP,V_L_AVG,V_L_OBP
2025,SSG,김건우,21,1,2,20.1,5.31,4.86,1.67,21.2,15.2,0.44,0.327,2.84,1.18,0.178,0.309,8.10,2.40,0.333,0.514
2025,SSG,송영진,8,2,4,31.0,6.39,4.75,1.87,17.5,11.9,0.87,0.396,8.16,1.81,0.333,0.419,3.77,2.09,0.339,0.417
2025,SSG,최민준,9,1,0,14.2,4.30,6.60,1.30,16.7,12.1,1.84,0.195,4.26,0.95,0.217,0.296,4.32,1.44,0.194,0.324
2025,SSG,최현석,3,0,0,4.2,5.79,8.62,1.50,4.8,19.0,1.93,0.133,0.00,1.80,0.286,0.375,9.00,1.33,0.100,0.308
2025,SSG,전영준,1,0,0,4.1,6.23,5.04,1.62,19.0,4.8,2.08,0.333,16.20,1.20,0.143,0.250,0.00,1.88,0.385,0.385
2025,SSG,서진용,2,0,0,1.1,6.75,11.06,3.00,0.0,42.9,0.00,0.250,0.00,0.75,0.000,0.250,99.99,99.99,1.000,1.000
2025,SSG,박종훈,5,0,2,19.0,7.11,8.93,1.74,11.1,20.0,1.90,0.212,5.87,1.70,0.192,0.417,7.59,1.88,0.263,0.451
2025,SSG,정동윤,4,0,0,7.1,12.27,5.81,2.18,21.1,18.4,1.23,0.364,9.82,1.36,0.154,0.313,14.73,3.00,0.389,0.500
2025,롯데,데이비슨,10,6,1,59.2,1.96,3.00,1.16,23.2,9.5,0.15,0.285,2.68,1.24,0.221,0.315,0.87,1.11,0.218,0.274
2025,롯데,박세웅,10,8,1,61.0,2.80,2.96,1.20,28.3,8.1,0.59,0.316,2.37,1.02,0.211,0.281,3.58,1.45,0.255,0.333
2025,롯데,김원중,20,1,0,21.1,1.27,3.58,1.22,28.3,15.2,0.84,0.208,0.96,1.82,0.200,0.370,1.50,0.67,0.125,0.186
2025,롯데,나균안,9,0,2,44.2,4.63,4.65,1.66,15.0,10.6,0.60,0.331,3.91,1.14,0.204,0.295,6.23,2.60,0.398,0.469
2025,롯데,정현수,31,1,0,20.1,3.10,2.96,1.18,28.2,14.1,0.00,0.261,6.23,2.08,0.235,0.409,1.80,0.93,0.143,0.263
2025,롯데,정철원,25,3,1,23.0,4.70,3.87,1.39,21.4,9.2,0.78,0.318,5.02,1.40,0.268,0.328,4.32,1.32,0.250,0.314
2025,롯데,김강현,24,1,1,27.0,4.00,5.18,1.22,15.3,9.3,1.00,0.232,4.02,1.40,0.228,0.338,4.09,1.00,0.209,0.277
2025,롯데,반즈,8,3,4,45.2,5.32,4.16,1.40,18.6,8.3,0.79,0.305,5.74,1.35,0.255,0.325,4.58,1.47,0.267,0.329
2025,롯데,한현희,2,0,0,4.2,0.00,2.02,1.50,28.6,4.8,0.00,0.462,0.00,0.86,0.250,0.250,0.00,2.14,0.364,0.462
2025,롯데,이민석,3,0,1,15.1,6.46,4.97,1.57,18.6,10.0,1.17,0.326,9.00,1.43,0.276,0.344,4.50,1.50,0.241,0.353
2025,롯데,정우준,2,0,0,1.1,0.00,2.51,1.50,28.6,0.0,0.00,0.500,0.00,1.50,0.333,0.500,0.00,1.50,0.333,0.333
2025,롯데,홍민기,1,0,0,1.0,0.00,1.36,2.00,25.0,0.0,0.00,0.667,0.00,0.00,0.000,0.000,0.00,3.00,0.667,0.667
2025,롯데,송재영,28,1,0,13.0,4.85,6.01,1.54,26.3,22.8,1.39,0.192,3.38,2.25,0.300,0.462,5.23,1.35,0.121,0.326
2025,롯데,김진욱,5,1,3,19.2,8.69,7.01,1.83,18.5,14.1,2.29,0.327,4.73,1.58,0.261,0.386,15.00,2.33,0.379,0.438
2025,롯데,최준용,2,0,0,1.1,13.50,4.39,2.25,14.3,14.3,0.00,0.400,13.50,1.50,0.500,0.500,13.50,3.00,0.250,0.400
2025,롯데,박진형,4,0,0,2.2,16.88,9.11,3.38,17.6,17.6,3.38,0.500,27.00,3.75,0.429,0.556,6.75,3.00,0.429,0.500
2025,롯데,김상수,28,0,0,23.2,5.70,5.36,1.73,15.9,11.5,1.14,0.329,6.46,1.70,0.293,0.380,4.50,1.88,0.314,0.400
2025,롯데,박진,20,1,1,28.2,5.65,5.64,1.47,12.0,7.2,1.57,0.295,9.77,1.34,0.290,0.313,0.71,1.42,0.277,0.340
2025,롯데,박시영,9,1,0,6.0,10.50,4.26,2.33,25.0,21.9,0.00,0.412,0.00,0.64,0.067,0.176,47.25,7.50,0.600,0.714
2025,롯데,박세현,3,0,0,3.2,14.73,6.13,2.45,19.0,4.8,2.46,0.500,7.71,1.71,0.364,0.364,27.00,3.75,0.500,0.600
2025,롯데,윤성빈,1,0,1,1.0,81.00,21.26,10.00,14.3,42.9,0.00,0.800,99.99,99.99,1.000,1.000,54.00,7.00,0.500,0.727
2025,롯데,박준우,7,1,2,5.2,12.71,4.36,2.65,12.5,9.4,0.00,0.500,9.82,2.45,0.412,0.474,21.60,3.60,0.500,0.583
2025,롯데,구승민,5,0,1,3.2,14.73,7.87,2.45,19.0,14.3,2.46,0.417,54.00,4.00,0.500,0.625,0.00,2.50,0.333,0.455
2025,KT,오원석,9,5,2,50.0,2.34,4.07,1.20,22.4,11.7,0.54,0.260,3.25,1.59,0.255,0.364,0.87,0.73,0.138,0.247
2025,KT,소형준,8,3,2,47.2,2.83,2.58,1.13,26.9,7.3,0.38,0.312,2.82,0.72,0.171,0.213,2.92,1.50,0.271,0.343
2025,KT,손동현,27,3,0,28.1,0.95,3.00,1.02,23.1,6.0,0.64,0.263,0.96,1.82,0.311,0.367,1.04,0.63,0.127,0.183
2025,KT,고영표,9,2,4,53.1,3.54,2.48,1.41,24.7,5.2,0.34,0.389,2.66,1.39,0.301,0.337,4.00,1.48,0.300,0.345
2025,KT,헤이수스,9,2,4,48.0,2.81,3.72,1.23,25.4,7.7,1.13,0.282,2.93,1.34,0.243,0.306,2.95,1.09,0.219,0.269
2025,KT,박영현,23,0,2,25.2,3.16,3.36,1.36,27.5,11.9,0.70,0.323,3.38,1.13,0.196,0.288,3.09,1.71,0.283,0.377
2025,KT,원상현,24,0,1,25.2,2.45,4.63,1.09,21.9,11.4,1.05,0.197,2.03,0.83,0.130,0.231,3.09,1.29,0.214,0.306
2025,KT,우규민,19,1,1,17.0,2.12,2.62,1.12,15.1,2.7,0.00,0.309,1.54,0.86,0.209,0.227,3.38,1.69,0.348,0.400
2025,KT,쿠에바스,10,2,3,54.2,5.43,6.09,1.52,12.3,10.2,1.48,0.282,6.33,1.22,0.255,0.319,4.73,1.76,0.286,0.385
2025,KT,조이현,2,1,1,10.1,2.61,3.45,0.97,7.7,0.0,0.00,0.286,1.50,0.67,0.190,0.227,4.50,1.25,0.333,0.333
2025,KT,김민수,28,3,1,26.2,4.39,4.00,1.31,15.3,5.4,0.68,0.325,7.15,1.59,0.319,0.360,1.88,1.05,0.245,0.296
2025,KT,주권,8,0,0,8.1,3.24,3.82,1.08,12.1,9.1,0.00,0.231,4.15,0.23,0.067,0.067,2.25,2.00,0.333,0.444
