Year,Team,Player,PA,AVG,OBP,SLG,wRC+,K%,BB%,BABIP,SB RAA,SB,SB%,RAVG,ROBP,RSLG,LAVG,LOBP,LSLG,UAVG,UOBP,USLG
2025,SSG,김건우,0,,,,,,,,,0,,,,,,,,,,
2025,SSG,이로운,0,,,,,,,,,0,,,,,,,,,,
2025,SSG,최민준,0,,,,,,,,,0,,,,,,,,,,
2025,SSG,한두솔,0,,,,,,,,,0,,,,,,,,,,
2025,SSG,조병현,0,,,,,,,,,0,,,,,,,,,,
2025,SSG,이율예,1,0.000,0.000,0.000,-140.6,100.0,0.0,,,0,,0.000,0.000,0.000,,,,,,
2025,SSG,최상민,9,0.143,0.333,0.143,62.2,55.6,11.1,0.500,-0.27,1,50.0,0.167,0.375,0.167,0.000,0.000,0.000,0.000,0.000,0.000
2025,SSG,맥브룸,24,0.227,0.292,0.500,93.2,37.5,8.3,0.273,0.00,0,,0.278,0.316,0.611,0.000,0.200,0.000,,,
2025,SSG,현원회,23,0.150,0.261,0.200,28.3,34.8,13.0,0.250,0.00,0,,0.143,0.294,0.214,0.167,0.167,0.167,,,
2025,SSG,오태곤,93,0.179,0.289,0.269,55.2,25.8,11.8,0.245,0.29,9,81.8,0.193,0.281,0.281,0.143,0.308,0.238,0.500,0.500,0.500
2025,SSG,석정우,7,0.167,0.286,0.167,30.5,28.6,14.3,0.250,0.00,0,,0.200,0.200,0.200,0.000,0.500,0.000,,,
2025,SSG,정준재,108,0.154,0.267,0.198,30.2,22.2,13.0,0.209,1.16,7,100.0,0.139,0.262,0.194,0.211,0.286,0.211,0.000,0.000,0.000
2025,SSG,한유섬,114,0.233,0.301,0.301,60.7,25.4,8.8,0.315,0.01,0,,0.269,0.329,0.359,0.120,0.214,0.120,0.000,0.000,0.000
2025,SSG,하재훈,25,0.167,0.200,0.292,14.9,48.0,4.0,0.273,0.00,0,,0.182,0.182,0.182,0.154,0.214,0.385,,,
2025,SSG,안상현,26,0.240,0.269,0.320,52.3,53.8,3.8,0.546,-0.09,2,66.7,0.231,0.231,0.308,0.250,0.308,0.333,,,
2025,SSG,박지환,54,0.167,0.212,0.167,-10.0,29.6,5.6,0.242,-0.44,0,0.0,0.167,0.235,0.167,0.167,0.167,0.167,0.333,0.333,0.333
2025,롯데,전민재,106,0.387,0.430,0.495,166.1,16.0,4.7,0.467,0.19,1,100.0,0.424,0.472,0.485,0.296,0.321,0.519,0.143,0.333,0.143
